Time_ms,Voltage1,Voltage2,Sensor1_percent,Sensor2_percent,Difference,Motor
29567,0.0,0.0,0.0,0.0,0.0,1
29624,0.0,0.0,0.0,0.0,0.0,1
29681,0.0,0.0,0.0,0.0,0.0,1
29738,0.0,0.0,0.0,0.0,0.0,1
29795,0.0,0.0,0.0,0.0,0.0,1
29852,0.0,0.0,0.0,0.0,0.0,1
29909,0.0,0.0,0.0,0.0,0.0,1
29966,0.0,0.0,0.0,0.0,0.0,1
30023,0.0,0.0,0.0,0.0,0.0,1
30080,0.0,0.0,0.0,0.0,0.0,1
30137,0.0,0.0,0.0,0.0,0.0,1
30194,0.0,0.0,0.0,0.0,0.0,1
30251,0.0,0.0,0.0,0.0,0.0,1
30308,0.0,0.0,0.0,0.0,0.0,1
30365,0.0,0.0,0.0,0.0,0.0,1
30422,0.0,0.0,0.0,0.0,0.0,1
30479,0.0,0.0,0.0,0.0,0.0,1
30536,0.0,0.0,0.0,0.0,0.0,1
30593,0.0,0.0,0.0,0.0,0.0,1
30650,0.0,0.0,0.0,0.0,0.0,1
30707,0.0,0.0,0.0,0.0,0.0,1
30764,0.0,0.0,0.0,0.0,0.0,1
30821,0.0,0.0,0.0,0.0,0.0,1
30878,0.0,0.0,0.0,0.0,0.0,1
30935,0.0,0.0,0.0,0.0,0.0,1
30992,0.0,0.0,0.0,0.0,0.0,1
31049,0.0,0.0,0.0,0.0,0.0,1
31106,0.0,0.0,0.0,0.0,0.0,1
31163,0.0,0.0,0.0,0.0,0.0,1
31220,0.0,0.0,0.0,0.0,0.0,1
31277,0.0,0.0,0.0,0.0,0.0,1
31334,0.0,0.0,0.0,0.0,0.0,1
31391,0.0,0.0,0.0,0.0,0.0,1
31448,0.0,0.0,0.0,0.0,0.0,1
31505,0.0,0.0,0.0,0.0,0.0,1
31562,0.0,0.0,0.0,0.0,0.0,1
31619,0.0,0.0,0.0,0.0,0.0,1
31676,0.0,0.0,0.0,0.0,0.0,1
31733,0.0,0.0,0.0,0.0,0.0,1
31790,0.0,0.0,0.0,0.0,0.0,1
31847,0.0,0.0,0.0,0.0,0.0,1
31904,0.0,0.0,0.0,0.0,0.0,1
31961,0.0,0.0,0.0,0.0,0.0,1
32018,0.0,0.0,0.0,0.0,0.0,1
32075,0.0,0.0,0.0,0.0,0.0,1
32132,0.0,0.0,0.0,0.0,0.0,1
32189,0.0,0.0,0.0,0.0,0.0,1
32246,0.0,0.0,0.0,0.0,0.0,1
32303,0.0,0.0,0.0,0.0,0.0,1
32360,0.0,0.0,0.0,0.0,0.0,1
32417,0.0,0.0,0.0,0.0,0.0,1
32474,0.0,0.0,0.0,0.0,0.0,1
32531,0.0,0.0,0.0,0.0,0.0,1
32588,0.0,0.0,0.0,0.0,0.0,1
32645,0.0,0.0,0.0,0.0,0.0,1
32702,0.0,0.0,0.0,0.0,0.0,1
32759,0.0,0.0,0.0,0.0,0.0,1
32816,0.0,0.0,0.0,0.0,0.0,1
32873,0.0,0.0,0.0,0.0,0.0,1
32930,0.0,0.0,0.0,0.0,0.0,1
32987,0.0,0.0,0.0,0.0,0.0,1
33044,0.0,0.0,0.0,0.0,0.0,1
33101,0.0,0.0,0.0,0.0,0.0,1
33158,0.0,0.0,0.0,0.0,0.0,1
33215,0.0,0.0,0.0,0.0,0.0,1
33272,0.0,0.0,0.0,0.0,0.0,1
33329,0.0,0.0,0.0,0.0,0.0,1
33386,0.0,0.0,0.0,0.0,0.0,1
33443,0.0,0.0,0.0,0.0,0.0,1
33500,0.0,0.0,0.0,0.0,0.0,1
33557,0.0,0.0,0.0,0.0,0.0,1
33614,0.0,0.0,0.0,0.0,0.0,1
33671,0.0,0.0,0.0,0.0,0.0,1
33728,0.0,0.0,0.0,0.0,0.0,1
33785,0.0,0.0,0.0,0.0,0.0,1
33842,0.0,0.0,0.0,0.0,0.0,1
33899,0.0,0.0,0.0,0.0,0.0,1
33956,0.0,0.0,0.0,0.0,0.0,1
34013,0.0,0.0,0.0,0.0,0.0,1
34070,0.0,0.0,0.0,0.0,0.0,1
34127,0.0,0.0,0.0,0.0,0.0,1
34184,0.0,0.0,0.0,0.0,0.0,1
34241,0.0,0.0,0.0,0.0,0.0,1
34298,0.0,0.0,0.0,0.0,0.0,1
34355,0.0,0.0,0.0,0.0,0.0,1
34412,0.0,0.0,0.0,0.0,0.0,1
34469,0.0,0.0,0.0,0.0,0.0,1
34526,0.0,0.0,0.0,0.0,0.0,1
34583,0.0,0.0,0.0,0.0,0.0,1
34640,0.0,0.0,0.0,0.0,0.0,1
34697,0.0,0.0,0.0,0.0,0.0,1
34754,0.0,0.0,0.0,0.0,0.0,1
34811,0.0,0.0,0.0,0.0,0.0,1
