Time_ms,Voltage1,Voltage2,Sensor1_percent,Sensor2_percent,Difference,Motor
360364,0.504,0.708,16.82,7.44,9.37,1
360423,0.505,0.709,16.84,7.47,9.37,1
360482,0.504,0.708,16.82,7.44,9.37,1
360541,0.507,0.708,16.9,7.44,9.46,1
360600,0.504,0.709,16.82,7.47,9.35,1
360659,0.507,0.708,16.9,7.41,9.48,1
360718,0.507,0.708,16.9,7.44,9.46,1
360777,0.505,0.709,16.84,7.47,9.37,1
360836,0.504,0.708,16.79,7.44,9.35,1
360895,0.507,0.709,16.9,7.47,9.43,1
360954,0.506,0.709,16.87,7.47,9.4,1
361013,0.507,0.709,16.9,7.47,9.43,1
361072,0.507,0.71,16.9,7.5,9.4,1
361131,0.504,0.708,16.82,7.44,9.37,1
361190,0.508,0.709,16.92,7.47,9.45,1
361249,0.506,0.708,16.87,7.44,9.43,1
361308,0.504,0.709,16.79,7.47,9.32,1
361367,0.507,0.709,16.9,7.47,9.43,1
361426,0.508,0.708,16.92,7.44,9.48,1
361485,0.504,0.709,16.79,7.47,9.32,1
361544,0.504,0.709,16.79,7.47,9.32,1
361603,0.505,0.708,16.84,7.44,9.4,1
361662,0.505,0.708,16.84,7.44,9.4,1
361721,0.507,0.708,16.9,7.44,9.46,1
361780,0.504,0.709,16.82,7.47,9.35,1
361839,0.506,0.709,16.87,7.47,9.4,1
361898,0.507,0.709,16.9,7.47,9.43,1
361957,0.507,0.709,16.9,7.47,9.43,1
362016,0.506,0.709,16.87,7.47,9.4,1
362075,0.507,0.708,16.9,7.44,9.46,1
362134,0.507,0.709,16.9,7.47,9.43,1
362193,0.504,0.708,16.82,7.44,9.37,1
362252,0.504,0.708,16.82,7.44,9.37,1
362311,0.505,0.709,16.84,7.47,9.37,1
362370,0.505,0.709,16.84,7.47,9.37,1
362429,0.504,0.709,16.82,7.47,9.35,1
362488,0.506,0.709,16.87,7.47,9.4,1
362547,0.504,0.709,16.79,7.47,9.32,1
362606,0.504,0.709,16.82,7.47,9.35,1
362665,0.504,0.709,16.82,7.47,9.35,1
362724,0.507,0.709,16.9,7.47,9.43,1
362783,0.504,0.71,16.82,7.5,9.32,1
362842,0.508,0.708,16.92,7.44,9.48,1
