Time_ms,Voltage1,Voltage2,Sensor1_percent,Sensor2_percent,Difference,Motor
215216,0.0,0.0,0.0,0.0,0.0,1
215273,0.0,0.0,0.0,0.0,0.0,1
215330,0.0,0.0,0.0,0.0,0.0,1
215387,0.0,0.0,0.0,0.0,0.0,1
215444,0.0,0.0,0.0,0.0,0.0,1
215501,0.0,0.0,0.0,0.0,0.0,1
215558,0.0,0.0,0.0,0.0,0.0,1
215615,0.0,0.0,0.0,0.0,0.0,1
215672,0.0,0.0,0.0,0.0,0.0,1
215729,0.0,0.0,0.0,0.0,0.0,1
215786,0.0,0.0,0.0,0.0,0.0,1
215843,0.0,0.0,0.0,0.0,0.0,1
215900,0.0,0.0,0.0,0.0,0.0,1
215957,0.0,0.0,0.0,0.0,0.0,1
216014,0.0,0.0,0.0,0.0,0.0,1
216071,0.0,0.0,0.0,0.0,0.0,1
216128,0.0,0.0,0.0,0.0,0.0,1
216185,0.0,0.0,0.0,0.0,0.0,1
216242,0.0,0.0,0.0,0.0,0.0,1
216299,0.0,0.0,0.0,0.0,0.0,1
216356,0.0,0.0,0.0,0.0,0.0,1
216413,0.0,0.0,0.0,0.0,0.0,1
216470,0.0,0.0,0.0,0.0,0.0,1
216527,0.0,0.0,0.0,0.0,0.0,1
216584,0.0,0.0,0.0,0.0,0.0,1
216641,0.0,0.0,0.0,0.0,0.0,1
216698,0.0,0.0,0.0,0.0,0.0,1
216755,0.0,0.0,0.0,0.0,0.0,1
216812,0.0,0.0,0.0,0.0,0.0,1
216869,0.0,0.0,0.0,0.0,0.0,1
216926,0.0,0.0,0.0,0.0,0.0,1
216983,0.0,0.0,0.0,0.0,0.0,1
217040,0.0,0.0,0.0,0.0,0.0,1
217097,0.0,0.0,0.0,0.0,0.0,1
217154,0.0,0.0,0.0,0.0,0.0,1
217211,0.0,0.0,0.0,0.0,0.0,1
217268,0.0,0.0,0.0,0.0,0.0,1
217325,0.0,0.0,0.0,0.0,0.0,1
217382,0.0,0.0,0.0,0.0,0.0,1
217439,0.0,0.0,0.0,0.0,0.0,1
217496,0.0,0.0,0.0,0.0,0.0,1
217553,0.0,0.0,0.0,0.0,0.0,1
217610,0.0,0.0,0.0,0.0,0.0,1
217667,0.0,0.0,0.0,0.0,0.0,1
217724,0.0,0.0,0.0,0.0,0.0,1
217781,0.0,0.0,0.0,0.0,0.0,1
217838,0.0,0.0,0.0,0.0,0.0,1
217895,0.0,0.0,0.0,0.0,0.0,1
217952,0.0,0.0,0.0,0.0,0.0,1
218009,0.0,0.0,0.0,0.0,0.0,1
218066,0.0,0.0,0.0,0.0,0.0,1
218123,0.0,0.0,0.0,0.0,0.0,1
218180,0.0,0.0,0.0,0.0,0.0,1
218237,0.0,0.0,0.0,0.0,0.0,1
218294,0.0,0.0,0.0,0.0,0.0,1
218351,0.0,0.0,0.0,0.0,0.0,1
218408,0.0,0.0,0.0,0.0,0.0,1
218465,0.0,0.0,0.0,0.0,0.0,1
218522,0.0,0.0,0.0,0.0,0.0,1
218579,0.0,0.0,0.0,0.0,0.0,1
218636,0.0,0.0,0.0,0.0,0.0,1
218693,0.0,0.0,0.0,0.0,0.0,1
218750,0.0,0.0,0.0,0.0,0.0,1
218807,0.0,0.0,0.0,0.0,0.0,1
218864,0.0,0.0,0.0,0.0,0.0,1
218921,0.0,0.0,0.0,0.0,0.0,1
218978,0.0,0.0,0.0,0.0,0.0,1
219035,0.0,0.0,0.0,0.0,0.0,1
219092,0.0,0.0,0.0,0.0,0.0,1
219149,0.0,0.0,0.0,0.0,0.0,1
219206,0.0,0.0,0.0,0.0,0.0,1
219263,0.0,0.0,0.0,0.0,0.0,1
219320,0.0,0.0,0.0,0.0,0.0,1
219377,0.0,0.0,0.0,0.0,0.0,1
219434,0.0,0.0,0.0,0.0,0.0,1
219491,0.0,0.0,0.0,0.0,0.0,1
219548,0.0,0.0,0.0,0.0,0.0,1
219605,0.0,0.0,0.0,0.0,0.0,1
219662,0.0,0.0,0.0,0.0,0.0,1
219719,0.0,0.0,0.0,0.0,0.0,1
219776,0.0,0.0,0.0,0.0,0.0,1
219833,0.0,0.0,0.0,0.0,0.0,1
219890,0.0,0.0,0.0,0.0,0.0,1
219947,0.0,0.0,0.0,0.0,0.0,1
220004,0.0,0.0,0.0,0.0,0.0,1
220061,0.0,0.0,0.0,0.0,0.0,1
220118,0.0,0.0,0.0,0.0,0.0,1
220175,0.0,0.0,0.0,0.0,0.0,1
220232,0.0,0.0,0.0,0.0,0.0,1
220289,0.0,0.0,0.0,0.0,0.0,1
220346,0.0,0.0,0.0,0.0,0.0,1
